0	not_intrinsic
48E	llvm.nvvm.tex.2d.array.v4u32.f32
48F	llvm.nvvm.tex.2d.array.v4u32.s32
490	llvm.nvvm.tex.2d.grad.v4f32.f32
491	llvm.nvvm.tex.2d.grad.v4s32.f32
492	llvm.nvvm.tex.2d.grad.v4u32.f32
493	llvm.nvvm.tex.2d.level.v4f32.f32
494	llvm.nvvm.tex.2d.level.v4s32.f32
495	llvm.nvvm.tex.2d.level.v4u32.f32
496	llvm.nvvm.tex.2d.v4f32.f32
497	llvm.nvvm.tex.2d.v4f32.s32
498	llvm.nvvm.tex.2d.v4s32.f32
499	llvm.nvvm.tex.2d.v4s32.s32
49A	llvm.nvvm.tex.2d.v4u32.f32
49B	llvm.nvvm.tex.2d.v4u32.s32
49C	llvm.nvvm.tex.3d.grad.v4f32.f32
49D	llvm.nvvm.tex.3d.grad.v4s32.f32
49E	llvm.nvvm.tex.3d.grad.v4u32.f32
49F	llvm.nvvm.tex.3d.level.v4f32.f32
4A0	llvm.nvvm.tex.3d.level.v4s32.f32
4A1	llvm.nvvm.tex.3d.level.v4u32.f32
4A2	llvm.nvvm.tex.3d.v4f32.f32
4A3	llvm.nvvm.tex.3d.v4f32.s32
4A4	llvm.nvvm.tex.3d.v4s32.f32
4A5	llvm.nvvm.tex.3d.v4s32.s32
4A6	llvm.nvvm.tex.3d.v4u32.f32
4A7	llvm.nvvm.tex.3d.v4u32.s32
4A8	llvm.nvvm.tex.cube.array.level.v4f32.f32
4A9	llvm.nvvm.tex.cube.array.level.v4s32.f32
4AA	llvm.nvvm.tex.cube.array.level.v4u32.f32
4AB	llvm.nvvm.tex.cube.array.v4f32.f32
4AC	llvm.nvvm.tex.cube.array.v4s32.f32
4AD	llvm.nvvm.tex.cube.array.v4u32.f32
4AE	llvm.nvvm.tex.cube.level.v4f32.f32
4AF	llvm.nvvm.tex.cube.level.v4s32.f32
4B0	llvm.nvvm.tex.cube.level.v4u32.f32
4B1	llvm.nvvm.tex.cube.v4f32.f32
4B2	llvm.nvvm.tex.cube.v4s32.f32
4B3	llvm.nvvm.tex.cube.v4u32.f32
4B4	llvm.nvvm.tex.fetch
4B5	llvm.nvvm.tex.fetch.compare
4B6	llvm.nvvm.tex.fetch.compare.grad
4B7	llvm.nvvm.tex.fetch.compare.grad.offset
4B8	llvm.nvvm.tex.fetch.compare.offset
4B9	llvm.nvvm.tex.fetch.grad
4BA	llvm.nvvm.tex.fetch.grad.offset
4BB	llvm.nvvm.tex.fetch.offset
4BC	llvm.nvvm.tex.fetch.proj
4BD	llvm.nvvm.tex.fetch.proj.compare
4BE	llvm.nvvm.tex.fetch.proj.compare.grad
4BF	llvm.nvvm.tex.fetch.proj.compare.grad.offset
4C0	llvm.nvvm.tex.fetch.proj.compare.offset
4C1	llvm.nvvm.tex.fetch.proj.grad
4C2	llvm.nvvm.tex.fetch.proj.grad.offset
4C3	llvm.nvvm.tex.fetch.proj.offset
4C4	llvm.nvvm.tex.footprint
4C5	llvm.nvvm.tex.footprint.grad
4C6	llvm.nvvm.tex.footprint.grad.offset
4C7	llvm.nvvm.tex.footprint.offset
4C8	llvm.nvvm.tex.footprint.proj
4C9	llvm.nvvm.tex.footprint.proj.grad
4CA	llvm.nvvm.tex.footprint.proj.grad.offset
4CB	llvm.nvvm.tex.footprint.proj.offset
4CC	llvm.nvvm.tex.gather
4CD	llvm.nvvm.tex.gather.compare
4CE	llvm.nvvm.tex.gather.compare.offset
4CF	llvm.nvvm.tex.gather.compare.offset.sampling
4D0	llvm.nvvm.tex.gather.offset
4D1	llvm.nvvm.tex.gather.offset.sampling
4D2	llvm.nvvm.tex.get.lod
4D3	llvm.nvvm.tex.load
4D4	llvm.nvvm.tex.load.offset
4D5	llvm.nvvm.tex.query
4D6	llvm.nvvm.tex.query.composite
4D7	llvm.nvvm.tex.unified.1d.array.grad.v4f32.f32
4D8	llvm.nvvm.tex.unified.1d.array.grad.v4s32.f32
4D9	llvm.nvvm.tex.unified.1d.array.grad.v4u32.f32
4DA	llvm.nvvm.tex.unified.1d.array.level.v4f32.f32
4DB	llvm.nvvm.tex.unified.1d.array.level.v4s32.f32
4DC	llvm.nvvm.tex.unified.1d.array.level.v4u32.f32
4DD	llvm.nvvm.tex.unified.1d.array.v4f32.f32
4DE	llvm.nvvm.tex.unified.1d.array.v4f32.s32
4DF	llvm.nvvm.tex.unified.1d.array.v4s32.f32
4E0	llvm.nvvm.tex.unified.1d.array.v4s32.s32
4E1	llvm.nvvm.tex.unified.1d.array.v4u32.f32
4E2	llvm.nvvm.tex.unified.1d.array.v4u32.s32
4E3	llvm.nvvm.tex.unified.1d.grad.v4f32.f32
4E4	llvm.nvvm.tex.unified.1d.grad.v4s32.f32
4E5	llvm.nvvm.tex.unified.1d.grad.v4u32.f32
4E6	llvm.nvvm.tex.unified.1d.level.v4f32.f32
4E7	llvm.nvvm.tex.unified.1d.level.v4s32.f32
4E8	llvm.nvvm.tex.unified.1d.level.v4u32.f32
4E9	llvm.nvvm.tex.unified.1d.v4f32.f32
4EA	llvm.nvvm.tex.unified.1d.v4f32.s32
4EB	llvm.nvvm.tex.unified.1d.v4s32.f32
4EC	llvm.nvvm.tex.unified.1d.v4s32.s32
4ED	llvm.nvvm.tex.unified.1d.v4u32.f32
4EE	llvm.nvvm.tex.unified.1d.v4u32.s32
4EF	llvm.nvvm.tex.unified.2d.array.grad.v4f32.f32
4F0	llvm.nvvm.tex.unified.2d.array.grad.v4s32.f32
4F1	llvm.nvvm.tex.unified.2d.array.grad.v4u32.f32
4F2	llvm.nvvm.tex.unified.2d.array.level.v4f32.f32
4F3	llvm.nvvm.tex.unified.2d.array.level.v4s32.f32
4F4	llvm.nvvm.tex.unified.2d.array.level.v4u32.f32
4F5	llvm.nvvm.tex.unified.2d.array.v4f32.f32
4F6	llvm.nvvm.tex.unified.2d.array.v4f32.s32
4F7	llvm.nvvm.tex.unified.2d.array.v4s32.f32
4F8	llvm.nvvm.tex.unified.2d.array.v4s32.s32
4F9	llvm.nvvm.tex.unified.2d.array.v4u32.f32
4FA	llvm.nvvm.tex.unified.2d.array.v4u32.s32
4FB	llvm.nvvm.tex.unified.2d.grad.v4f32.f32
4FC	llvm.nvvm.tex.unified.2d.grad.v4s32.f32
4FD	llvm.nvvm.tex.unified.2d.grad.v4u32.f32
4FE	llvm.nvvm.tex.unified.2d.level.v4f32.f32
4FF	llvm.nvvm.tex.unified.2d.level.v4s32.f32
500	llvm.nvvm.tex.unified.2d.level.v4u32.f32
501	llvm.nvvm.tex.unified.2d.v4f32.f32
502	llvm.nvvm.tex.unified.2d.v4f32.s32
503	llvm.nvvm.tex.unified.2d.v4s32.f32
504	llvm.nvvm.tex.unified.2d.v4s32.s32
505	llvm.nvvm.tex.unified.2d.v4u32.f32
506	llvm.nvvm.tex.unified.2d.v4u32.s32
507	llvm.nvvm.tex.unified.3d.grad.v4f32.f32
508	llvm.nvvm.tex.unified.3d.grad.v4s32.f32
509	llvm.nvvm.tex.unified.3d.grad.v4u32.f32
50A	llvm.nvvm.tex.unified.3d.level.v4f32.f32
50B	llvm.nvvm.tex.unified.3d.level.v4s32.f32
50C	llvm.nvvm.tex.unified.3d.level.v4u32.f32
50D	llvm.nvvm.tex.unified.3d.v4f32.f32
50E	llvm.nvvm.tex.unified.3d.v4f32.s32
50F	llvm.nvvm.tex.unified.3d.v4s32.f32
510	llvm.nvvm.tex.unified.3d.v4s32.s32
511	llvm.nvvm.tex.unified.3d.v4u32.f32
512	llvm.nvvm.tex.unified.3d.v4u32.s32
513	llvm.nvvm.tex.unified.cube.array.grad.v4f32.f32
514	llvm.nvvm.tex.unified.cube.array.grad.v4s32.f32
515	llvm.nvvm.tex.unified.cube.array.grad.v4u32.f32
516	llvm.nvvm.tex.unified.cube.array.level.v4f32.f32
517	llvm.nvvm.tex.unified.cube.array.level.v4s32.f32
518	llvm.nvvm.tex.unified.cube.array.level.v4u32.f32
519	llvm.nvvm.tex.unified.cube.array.v4f32.f32
51A	llvm.nvvm.tex.unified.cube.array.v4s32.f32
51B	llvm.nvvm.tex.unified.cube.array.v4u32.f32
51C	llvm.nvvm.tex.unified.cube.grad.v4f32.f32
51D	llvm.nvvm.tex.unified.cube.grad.v4s32.f32
51E	llvm.nvvm.tex.unified.cube.grad.v4u32.f32
51F	llvm.nvvm.tex.unified.cube.level.v4f32.f32
520	llvm.nvvm.tex.unified.cube.level.v4s32.f32
521	llvm.nvvm.tex.unified.cube.level.v4u32.f32
522	llvm.nvvm.tex.unified.cube.v4f32.f32
523	llvm.nvvm.tex.unified.cube.v4s32.f32
524	llvm.nvvm.tex.unified.cube.v4u32.f32
525	llvm.nvvm.texsurf.handle
526	llvm.nvvm.texsurf.handle.internal
527	llvm.nvvm.tld4.a.2d.v4f32.f32
528	llvm.nvvm.tld4.a.2d.v4s32.f32
529	llvm.nvvm.tld4.a.2d.v4u32.f32
52A	llvm.nvvm.tld4.b.2d.v4f32.f32
52B	llvm.nvvm.tld4.b.2d.v4s32.f32
52C	llvm.nvvm.tld4.b.2d.v4u32.f32
52D	llvm.nvvm.tld4.g.2d.v4f32.f32
52E	llvm.nvvm.tld4.g.2d.v4s32.f32
52F	llvm.nvvm.tld4.g.2d.v4u32.f32
530	llvm.nvvm.tld4.r.2d.v4f32.f32
531	llvm.nvvm.tld4.r.2d.v4s32.f32
532	llvm.nvvm.tld4.r.2d.v4u32.f32
533	llvm.nvvm.tld4.unified.a.2d.v4f32.f32
534	llvm.nvvm.tld4.unified.a.2d.v4s32.f32
535	llvm.nvvm.tld4.unified.a.2d.v4u32.f32
536	llvm.nvvm.tld4.unified.b.2d.v4f32.f32
537	llvm.nvvm.tld4.unified.b.2d.v4s32.f32
538	llvm.nvvm.tld4.unified.b.2d.v4u32.f32
539	llvm.nvvm.tld4.unified.g.2d.v4f32.f32
53A	llvm.nvvm.tld4.unified.g.2d.v4s32.f32
53B	llvm.nvvm.tld4.unified.g.2d.v4u32.f32
53C	llvm.nvvm.tld4.unified.r.2d.v4f32.f32
53D	llvm.nvvm.tld4.unified.r.2d.v4s32.f32
53E	llvm.nvvm.tld4.unified.r.2d.v4u32.f32
53F	llvm.nvvm.trunc.d
540	llvm.nvvm.trunc.f
541	llvm.nvvm.trunc.ftz.f
542	llvm.nvvm.txq.array.size
543	llvm.nvvm.txq.channel.data.type
544	llvm.nvvm.txq.channel.order
545	llvm.nvvm.txq.depth
546	llvm.nvvm.txq.height
547	llvm.nvvm.txq.num.mipmap.levels
548	llvm.nvvm.txq.num.samples
549	llvm.nvvm.txq.width
54A	llvm.nvvm.ui2d.rm
54B	llvm.nvvm.ui2d.rn
54C	llvm.nvvm.ui2d.rp
54D	llvm.nvvm.ui2d.rz
54E	llvm.nvvm.ui2f.rm
54F	llvm.nvvm.ui2f.rn
550	llvm.nvvm.ui2f.rp
551	llvm.nvvm.ui2f.rz
552	llvm.nvvm.ull2d.rm
553	llvm.nvvm.ull2d.rn
554	llvm.nvvm.ull2d.rp
555	llvm.nvvm.ull2d.rz
556	llvm.nvvm.ull2f.rm
557	llvm.nvvm.ull2f.rn
558	llvm.nvvm.ull2f.rp
559	llvm.nvvm.ull2f.rz
55A	llvm.nvvm.unpack.hi.i32.i64
55B	llvm.nvvm.unpack.lo.i32.i64
55C	llvm.nvvm.vote
55D	llvm.nvvm.vote.only
55E	llvm.nvvm.vote.sync
55F	llvm.nvvm.write.attribute
560	llvm.nvvm.write.clip.distance
561	llvm.nvvm.write.coverage
562	llvm.nvvm.write.fog.coordinate
563	llvm.nvvm.write.frag.depth
564	llvm.nvvm.write.generic.attribute
565	llvm.nvvm.write.generic.attribute.comp
566	llvm.nvvm.write.instance.id
567	llvm.nvvm.write.isbe
568	llvm.nvvm.write.mesh.index
569	llvm.nvvm.write.mesh.task
56A	llvm.nvvm.write.patch.attribute
56B	llvm.nvvm.write.point.size
56C	llvm.nvvm.write.position
56D	llvm.nvvm.write.position.comp
56E	llvm.nvvm.write.primitive.id
56F	llvm.nvvm.write.render.target
570	llvm.nvvm.write.render.target.array.index
571	llvm.nvvm.write.render.target.comp
572	llvm.nvvm.write.sample.mask
573	llvm.nvvm.write.sample.mask.offset
574	llvm.nvvm.write.tess.inner
575	llvm.nvvm.write.tess.outer
576	llvm.nvvm.write.vertex.id
577	llvm.nvvm.write.viewport.index
578	llvm.nvvm.write.viewport.mask
579	llvm.nvvm.write.vreg
57A	llvm.objectsize
57B	llvm.pcmarker
57C	llvm.pow
57D	llvm.powi
57E	llvm.prefetch
57F	llvm.ptr.annotation
580	llvm.ptx.bar.sync
581	llvm.ptx.read.clock
582	llvm.ptx.read.clock64
583	llvm.ptx.read.ctaid.w
584	llvm.ptx.read.ctaid.x
585	llvm.ptx.read.ctaid.y
586	llvm.ptx.read.ctaid.z
587	llvm.ptx.read.gridid
588	llvm.ptx.read.laneid
589	llvm.ptx.read.lanemask.eq
58A	llvm.ptx.read.lanemask.ge
58B	llvm.ptx.read.lanemask.gt
58C	llvm.ptx.read.lanemask.le
58D	llvm.ptx.read.lanemask.lt
58E	llvm.ptx.read.nctaid.w
58F	llvm.ptx.read.nctaid.x
590	llvm.ptx.read.nctaid.y
591	llvm.ptx.read.nctaid.z
592	llvm.ptx.read.nsmid
593	llvm.ptx.read.ntid.w
594	llvm.ptx.read.ntid.x
595	llvm.ptx.read.ntid.y
596	llvm.ptx.read.ntid.z
597	llvm.ptx.read.nwarpid
598	llvm.ptx.read.pm0
599	llvm.ptx.read.pm1
59A	llvm.ptx.read.pm2
59B	llvm.ptx.read.pm3
59C	llvm.ptx.read.smid
59D	llvm.ptx.read.tid.w
59E	llvm.ptx.read.tid.x
59F	llvm.ptx.read.tid.y
5A0	llvm.ptx.read.tid.z
5A1	llvm.ptx.read.warpid
5A2	llvm.readcyclecounter
5A3	llvm.returnaddress
5A4	llvm.rint
5A5	llvm.round
5A6	llvm.sadd.with.overflow
5A7	llvm.setjmp
5A8	llvm.siglongjmp
5A9	llvm.sigsetjmp
5AA	llvm.sin
5AB	llvm.smul.with.overflow
5AC	llvm.sqrt
5AD	llvm.ssub.with.overflow
5AE	llvm.stackprotector
5AF	llvm.stackprotectorcheck
5B0	llvm.stackrestore
5B1	llvm.stacksave
5B2	llvm.trap
5B3	llvm.trunc
5B4	llvm.uadd.with.overflow
5B5	llvm.umul.with.overflow
5B6	llvm.usub.with.overflow
5B7	llvm.va_copy
5B8	llvm.va_end
5B9	llvm.var.annotation
5BA	llvm.va_start
