0	not_intrinsic
121	llvm.nvvm.hmma.m32n8k16.st.c.f16
122	llvm.nvvm.hmma.m32n8k16.st.c.f32
123	llvm.nvvm.hmma.m8n32k16.ld.a
124	llvm.nvvm.hmma.m8n32k16.ld.b
125	llvm.nvvm.hmma.m8n32k16.ld.c.f16
126	llvm.nvvm.hmma.m8n32k16.ld.c.f32
127	llvm.nvvm.hmma.m8n32k16.mma.f16.f16
128	llvm.nvvm.hmma.m8n32k16.mma.f16.f32
129	llvm.nvvm.hmma.m8n32k16.mma.f32.f16
12A	llvm.nvvm.hmma.m8n32k16.mma.f32.f32
12B	llvm.nvvm.hmma.m8n32k16.st.c.f16
12C	llvm.nvvm.hmma.m8n32k16.st.c.f32
12D	llvm.nvvm.i2d.rm
12E	llvm.nvvm.i2d.rn
12F	llvm.nvvm.i2d.rp
130	llvm.nvvm.i2d.rz
131	llvm.nvvm.i2f.rm
132	llvm.nvvm.i2f.rn
133	llvm.nvvm.i2f.rp
134	llvm.nvvm.i2f.rz
135	llvm.nvvm.idp2a
136	llvm.nvvm.idp4a
137	llvm.nvvm.imma.m16n16k16.ld.a.s8
138	llvm.nvvm.imma.m16n16k16.ld.a.u8
139	llvm.nvvm.imma.m16n16k16.ld.b.s8
13A	llvm.nvvm.imma.m16n16k16.ld.b.u8
13B	llvm.nvvm.imma.m16n16k16.ld.c
13C	llvm.nvvm.imma.m16n16k16.mma.s8
13D	llvm.nvvm.imma.m16n16k16.mma.u8
13E	llvm.nvvm.imma.m16n16k16.st.c.i32
13F	llvm.nvvm.imma.m32n8k16.ld.a.s8
140	llvm.nvvm.imma.m32n8k16.ld.a.u8
141	llvm.nvvm.imma.m32n8k16.ld.b.s8
142	llvm.nvvm.imma.m32n8k16.ld.b.u8
143	llvm.nvvm.imma.m32n8k16.ld.c
144	llvm.nvvm.imma.m32n8k16.mma.s8
145	llvm.nvvm.imma.m32n8k16.mma.u8
146	llvm.nvvm.imma.m32n8k16.st.c.i32
147	llvm.nvvm.imma.m8n32k16.ld.a.s8
148	llvm.nvvm.imma.m8n32k16.ld.a.u8
149	llvm.nvvm.imma.m8n32k16.ld.b.s8
14A	llvm.nvvm.imma.m8n32k16.ld.b.u8
14B	llvm.nvvm.imma.m8n32k16.ld.c
14C	llvm.nvvm.imma.m8n32k16.mma.s8
14D	llvm.nvvm.imma.m8n32k16.mma.u8
14E	llvm.nvvm.imma.m8n32k16.st.c.i32
14F	llvm.nvvm.imma.m8n8k32.ld.a.s4
150	llvm.nvvm.imma.m8n8k32.ld.a.u4
151	llvm.nvvm.imma.m8n8k32.ld.b.s4
152	llvm.nvvm.imma.m8n8k32.ld.b.u4
153	llvm.nvvm.imma.m8n8k32.ld.c
154	llvm.nvvm.imma.m8n8k32.mma.s4
155	llvm.nvvm.imma.m8n8k32.mma.u4
156	llvm.nvvm.imma.m8n8k32.st.c.i32
157	llvm.nvvm.internal.printf.cl
158	llvm.nvvm.isspacep.const
159	llvm.nvvm.isspacep.global
15A	llvm.nvvm.isspacep.local
15B	llvm.nvvm.isspacep.shared
15C	llvm.nvvm.istypep.sampler
15D	llvm.nvvm.istypep.surface
15E	llvm.nvvm.istypep.texture
15F	llvm.nvvm.ldg.global.f
160	llvm.nvvm.ldg.global.i
161	llvm.nvvm.ldg.global.p
162	llvm.nvvm.ldg.readonly.boundscheck
163	llvm.nvvm.ldu.global.f
164	llvm.nvvm.ldu.global.i
165	llvm.nvvm.ldu.global.p
166	llvm.nvvm.lg2.approx
167	llvm.nvvm.lg2.approx.d
168	llvm.nvvm.lg2.approx.f
169	llvm.nvvm.lg2.approx.ftz.f
16A	llvm.nvvm.lg2.approx.ftz.f32
16B	llvm.nvvm.ll2d.rm
16C	llvm.nvvm.ll2d.rn
16D	llvm.nvvm.ll2d.rp
16E	llvm.nvvm.ll2d.rz
16F	llvm.nvvm.ll2f.rm
170	llvm.nvvm.ll2f.rn
171	llvm.nvvm.ll2f.rp
172	llvm.nvvm.ll2f.rz
173	llvm.nvvm.load
174	llvm.nvvm.load.bindless.constant
175	llvm.nvvm.load.cbank
176	llvm.nvvm.load.constant
177	llvm.nvvm.load.readonly.boundscheck
178	llvm.nvvm.lohi.i2d
179	llvm.nvvm.mad.hi.s
17A	llvm.nvvm.mad.hi.u
17B	llvm.nvvm.mad.lo
17C	llvm.nvvm.mad.sat.s
17D	llvm.nvvm.mad.sat.u
17E	llvm.nvvm.mad.wide.s.i32
17F	llvm.nvvm.mad.wide.u.i32
180	llvm.nvvm.mad.wide.u.i64
181	llvm.nvvm.match.all
182	llvm.nvvm.match.all.sync
183	llvm.nvvm.match.any
184	llvm.nvvm.match.any.sync
185	llvm.nvvm.max.i
186	llvm.nvvm.max.ll
187	llvm.nvvm.max.s
188	llvm.nvvm.max.u
189	llvm.nvvm.max.ui
18A	llvm.nvvm.max.ull
18B	llvm.nvvm.membar
18C	llvm.nvvm.membar.cta
18D	llvm.nvvm.membar.gl
18E	llvm.nvvm.membar.sys
18F	llvm.nvvm.min.i
190	llvm.nvvm.min.ll
191	llvm.nvvm.min.s
192	llvm.nvvm.min.u
193	llvm.nvvm.min.ui
194	llvm.nvvm.min.ull
195	llvm.nvvm.move
196	llvm.nvvm.move.double
197	llvm.nvvm.move.float
198	llvm.nvvm.move.i
199	llvm.nvvm.move.ll
19A	llvm.nvvm.move.ptr
19B	llvm.nvvm.move.s
19C	llvm.nvvm.msad.s.i32
19D	llvm.nvvm.msad.u.i32
19E	llvm.nvvm.mul
19F	llvm.nvvm.mul24.i
1A0	llvm.nvvm.mul24.ui
1A1	llvm.nvvm.mul.ftz.f32
1A2	llvm.nvvm.mul.hi.s
1A3	llvm.nvvm.mul.hi.u
1A4	llvm.nvvm.mul.rm.d
1A5	llvm.nvvm.mul.rm.f
1A6	llvm.nvvm.mul.rm.ftz.f
1A7	llvm.nvvm.mul.rn.d
1A8	llvm.nvvm.mul.rn.f
1A9	llvm.nvvm.mul.rn.ftz.f
1AA	llvm.nvvm.mul.rp.d
1AB	llvm.nvvm.mul.rp.f
1AC	llvm.nvvm.mul.rp.ftz.f
1AD	llvm.nvvm.mul.rz.d
1AE	llvm.nvvm.mul.rz.f
1AF	llvm.nvvm.mul.rz.ftz.f
1B0	llvm.nvvm.mul.wide.s.i32
1B1	llvm.nvvm.mul.wide.u.i32
1B2	llvm.nvvm.mul.wide.u.i64
1B3	llvm.nvvm.mulhi.i
1B4	llvm.nvvm.mulhi.ll
1B5	llvm.nvvm.mulhi.s
1B6	llvm.nvvm.mulhi.ui
1B7	llvm.nvvm.mulhi.ull
1B8	llvm.nvvm.mulhi.us
1B9	llvm.nvvm.pack.i64.i32
1BA	llvm.nvvm.permute.i32
1BB	llvm.nvvm.popc.i
1BC	llvm.nvvm.popc.ll
1BD	llvm.nvvm.prmt
1BE	llvm.nvvm.ptr.byval.param.to.local
1BF	llvm.nvvm.ptr.constant.to.gen
1C0	llvm.nvvm.ptr.gen.to.constant
1C1	llvm.nvvm.ptr.gen.to.global
1C2	llvm.nvvm.ptr.gen.to.local
1C3	llvm.nvvm.ptr.gen.to.param
1C4	llvm.nvvm.ptr.gen.to.shared
1C5	llvm.nvvm.ptr.global.to.gen
1C6	llvm.nvvm.ptr.local.to.gen
1C7	llvm.nvvm.ptr.param.to.gen
1C8	llvm.nvvm.ptr.shared.to.gen
1C9	llvm.nvvm.rcp
1CA	llvm.nvvm.rcp.approx
1CB	llvm.nvvm.rcp.approx.ftz.d
1CC	llvm.nvvm.rcp.approx.ftz.f32
1CD	llvm.nvvm.rcp.approx.ftz.f64
1CE	llvm.nvvm.rcp.ftz.f32
1CF	llvm.nvvm.rcp.rm.d
1D0	llvm.nvvm.rcp.rm.f
1D1	llvm.nvvm.rcp.rm.ftz.f
1D2	llvm.nvvm.rcp.rn.d
1D3	llvm.nvvm.rcp.rn.f
1D4	llvm.nvvm.rcp.rn.ftz.f
1D5	llvm.nvvm.rcp.rp.d
1D6	llvm.nvvm.rcp.rp.f
