1B3	INT_MATCH64_ANY_SYNC
1B4	INT_MEMBAR_CTA
1B5	INT_MEMBAR_GL
1B6	INT_MEMBAR_SYS
1B7	INT_NVVM_ABS_I
1B8	INT_NVVM_ABS_LL
1B9	INT_NVVM_ADD_RM_D
1BA	INT_NVVM_ADD_RM_F
1BB	INT_NVVM_ADD_RM_FTZ_F
1BC	INT_NVVM_ADD_RN_D
1BD	INT_NVVM_ADD_RN_F
1BE	INT_NVVM_ADD_RN_FTZ_F
1BF	INT_NVVM_ADD_RP_D
1C0	INT_NVVM_ADD_RP_F
1C1	INT_NVVM_ADD_RP_FTZ_F
1C2	INT_NVVM_ADD_RZ_D
1C3	INT_NVVM_ADD_RZ_F
1C4	INT_NVVM_ADD_RZ_FTZ_F
1C5	INT_NVVM_BITCAST_D2LL
1C6	INT_NVVM_BITCAST_F2I
1C7	INT_NVVM_BITCAST_I2F
1C8	INT_NVVM_BITCAST_LL2D
1C9	INT_NVVM_BREV32
1CA	INT_NVVM_BREV64
1CB	INT_NVVM_CLZ_I
1CC	INT_NVVM_CLZ_LL
1CD	INT_NVVM_COMPILER_ERROR_32
1CE	INT_NVVM_COMPILER_ERROR_64
1CF	INT_NVVM_COMPILER_WARN_32
1D0	INT_NVVM_COMPILER_WARN_64
1D1	INT_NVVM_COS_APPROX_F
1D2	INT_NVVM_COS_APPROX_FTZ_F
1D3	INT_NVVM_D2I_HI
1D4	INT_NVVM_D2I_LO
1D5	INT_NVVM_DIV_APPROX_F
1D6	INT_NVVM_DIV_APPROX_FTZ_F
1D7	INT_NVVM_DIV_RM_D
1D8	INT_NVVM_DIV_RM_F
1D9	INT_NVVM_DIV_RM_FTZ_F
1DA	INT_NVVM_DIV_RN_D
1DB	INT_NVVM_DIV_RN_F
1DC	INT_NVVM_DIV_RN_FTZ_F
1DD	INT_NVVM_DIV_RP_D
1DE	INT_NVVM_DIV_RP_F
1DF	INT_NVVM_DIV_RP_FTZ_F
1E0	INT_NVVM_DIV_RZ_D
1E1	INT_NVVM_DIV_RZ_F
1E2	INT_NVVM_DIV_RZ_FTZ_F
1E3	INT_NVVM_EX2_APPROX_D
1E4	INT_NVVM_EX2_APPROX_F
1E5	INT_NVVM_EX2_APPROX_FTZ_F
1E6	INT_NVVM_EXIT
1E7	INT_NVVM_F2H_RN
1E8	INT_NVVM_F2H_RN_FTZ
1E9	INT_NVVM_FABS_D
1EA	INT_NVVM_FABS_F
1EB	INT_NVVM_FABS_FTZ_F
1EC	INT_NVVM_FMAX_D
1ED	INT_NVVM_FMAX_F
1EE	INT_NVVM_FMAX_FTZ_F
1EF	INT_NVVM_FMA_RM_D
1F0	INT_NVVM_FMA_RM_F
1F1	INT_NVVM_FMA_RM_FTZ_F
1F2	INT_NVVM_FMA_RN_D
1F3	INT_NVVM_FMA_RN_F
1F4	INT_NVVM_FMA_RN_FTZ_F
1F5	INT_NVVM_FMA_RP_D
1F6	INT_NVVM_FMA_RP_F
1F7	INT_NVVM_FMA_RP_FTZ_F
1F8	INT_NVVM_FMA_RZ_D
1F9	INT_NVVM_FMA_RZ_F
1FA	INT_NVVM_FMA_RZ_FTZ_F
1FB	INT_NVVM_FMIN_D
1FC	INT_NVVM_FMIN_F
1FD	INT_NVVM_FMIN_FTZ_F
1FE	INT_NVVM_H2F
1FF	INT_NVVM_LG2_APPROX_D
200	INT_NVVM_LG2_APPROX_F
201	INT_NVVM_LG2_APPROX_FTZ_F
202	INT_NVVM_LOHI_I2D
203	INT_NVVM_MAX_I
204	INT_NVVM_MAX_LL
205	INT_NVVM_MAX_S
206	INT_NVVM_MAX_UI
207	INT_NVVM_MAX_ULL
208	INT_NVVM_MAX_US
209	INT_NVVM_MIN_I
20A	INT_NVVM_MIN_LL
20B	INT_NVVM_MIN_S
20C	INT_NVVM_MIN_UI
20D	INT_NVVM_MIN_ULL
20E	INT_NVVM_MIN_US
20F	INT_NVVM_MUL24_I
210	INT_NVVM_MUL24_UI
211	INT_NVVM_MULHI_I
212	INT_NVVM_MULHI_LL
213	INT_NVVM_MULHI_S
214	INT_NVVM_MULHI_UI
215	INT_NVVM_MULHI_ULL
216	INT_NVVM_MULHI_US
217	INT_NVVM_MUL_RM_D
218	INT_NVVM_MUL_RM_F
219	INT_NVVM_MUL_RM_FTZ_F
21A	INT_NVVM_MUL_RN_D
21B	INT_NVVM_MUL_RN_F
21C	INT_NVVM_MUL_RN_FTZ_F
21D	INT_NVVM_MUL_RP_D
21E	INT_NVVM_MUL_RP_F
21F	INT_NVVM_MUL_RP_FTZ_F
220	INT_NVVM_MUL_RZ_D
221	INT_NVVM_MUL_RZ_F
222	INT_NVVM_MUL_RZ_FTZ_F
223	INT_NVVM_PACK_TO64
224	INT_NVVM_PERMUTE_I32
225	INT_NVVM_POPC_I
226	INT_NVVM_POPC_LL
227	INT_NVVM_PRMT
228	INT_NVVM_RCP_APPROX_FTZ_D
229	INT_NVVM_RCP_RM_D
22A	INT_NVVM_RCP_RM_F
22B	INT_NVVM_RCP_RM_FTZ_F
22C	INT_NVVM_RCP_RN_D
22D	INT_NVVM_RCP_RN_F
22E	INT_NVVM_RCP_RN_FTZ_F
22F	INT_NVVM_RCP_RP_D
230	INT_NVVM_RCP_RP_F
231	INT_NVVM_RCP_RP_FTZ_F
232	INT_NVVM_RCP_RZ_D
233	INT_NVVM_RCP_RZ_F
234	INT_NVVM_RCP_RZ_FTZ_F
235	INT_NVVM_RSQRT_APPROX_D
236	INT_NVVM_RSQRT_APPROX_F
237	INT_NVVM_RSQRT_APPROX_F32
238	INT_NVVM_RSQRT_APPROX_F64
239	INT_NVVM_RSQRT_APPROX_FTZ_F
23A	INT_NVVM_SAD_I
23B	INT_NVVM_SAD_LL
23C	INT_NVVM_SAD_S
23D	INT_NVVM_SAD_UI
23E	INT_NVVM_SAD_ULL
23F	INT_NVVM_SAD_US
240	INT_NVVM_SIN_APPROX_F
241	INT_NVVM_SIN_APPROX_FTZ_F
242	INT_NVVM_SQRT_APPROX_F
243	INT_NVVM_SQRT_APPROX_FTZ_F
244	INT_NVVM_SQRT_RM_D
245	INT_NVVM_SQRT_RM_F
246	INT_NVVM_SQRT_RM_FTZ_F
247	INT_NVVM_SQRT_RN_D
248	INT_NVVM_SQRT_RN_F
249	INT_NVVM_SQRT_RN_FTZ_F
24A	INT_NVVM_SQRT_RP_D
24B	INT_NVVM_SQRT_RP_F
24C	INT_NVVM_SQRT_RP_FTZ_F
24D	INT_NVVM_SQRT_RZ_D
24E	INT_NVVM_SQRT_RZ_F
24F	INT_NVVM_SQRT_RZ_FTZ_F
250	INT_NVVM_UNPACK_HI
251	INT_NVVM_UNPACK_LO
252	INT_PTX_ATOM_CAS_GEN_16p32imm1
253	INT_PTX_ATOM_CAS_GEN_16p32imm2
254	INT_PTX_ATOM_CAS_GEN_16p32imm3
255	INT_PTX_ATOM_CAS_GEN_16p32reg
256	INT_PTX_ATOM_CAS_GEN_16p64imm1
257	INT_PTX_ATOM_CAS_GEN_16p64imm2
258	INT_PTX_ATOM_CAS_GEN_16p64imm3
259	INT_PTX_ATOM_CAS_GEN_16p64reg
25A	INT_PTX_ATOM_CAS_GEN_32p32imm1
25B	INT_PTX_ATOM_CAS_GEN_32p32imm2
